run_id,task_id,agent_id,model_id,model_family,label,seg,n_frag_total,n_steps_total
20250726_mini-v1.0.0_gemini-2.5-pro/astropy__astropy-12907,astropy__astropy-12907,mini-swe-agent-1.0.0,gemini-2.5-pro,google,0,reason_sent,52,5
20250726_mini-v1.0.0_gemini-2.5-pro/astropy__astropy-13033,astropy__astropy-13033,mini-swe-agent-1.0.0,gemini-2.5-pro,google,1,reason_sent,239,13
20250726_mini-v1.0.0_gemini-2.5-pro/astropy__astropy-13236,astropy__astropy-13236,mini-swe-agent-1.0.0,gemini-2.5-pro,google,1,reason_sent,490,13
20250726_mini-v1.0.0_gemini-2.5-pro/astropy__astropy-13398,astropy__astropy-13398,mini-swe-agent-1.0.0,gemini-2.5-pro,google,1,reason_sent,147,12
20250726_mini-v1.0.0_gemini-2.5-pro/astropy__astropy-13453,astropy__astropy-13453,mini-swe-agent-1.0.0,gemini-2.5-pro,google,1,reason_sent,798,39
20250726_mini-v1.0.0_gemini-2.5-pro/astropy__astropy-13579,astropy__astropy-13579,mini-swe-agent-1.0.0,gemini-2.5-pro,google,1,reason_sent,572,54
20250726_mini-v1.0.0_gemini-2.5-pro/astropy__astropy-13977,astropy__astropy-13977,mini-swe-agent-1.0.0,gemini-2.5-pro,google,1,reason_sent,330,28
20250726_mini-v1.0.0_gemini-2.5-pro/astropy__astropy-14096,astropy__astropy-14096,mini-swe-agent-1.0.0,gemini-2.5-pro,google,0,reason_sent,1044,46
20250726_mini-v1.0.0_gemini-2.5-pro/astropy__astropy-14182,astropy__astropy-14182,mini-swe-agent-1.0.0,gemini-2.5-pro,google,0,reason_sent,621,11
20250726_mini-v1.0.0_gemini-2.5-pro/astropy__astropy-14309,astropy__astropy-14309,mini-swe-agent-1.0.0,gemini-2.5-pro,google,0,reason_sent,56,7
20250726_mini-v1.0.0_gemini-2.5-pro/astropy__astropy-14365,astropy__astropy-14365,mini-swe-agent-1.0.0,gemini-2.5-pro,google,1,reason_sent,150,14
20250726_mini-v1.0.0_gemini-2.5-pro/astropy__astropy-14369,astropy__astropy-14369,mini-swe-agent-1.0.0,gemini-2.5-pro,google,1,reason_sent,844,31
20250726_mini-v1.0.0_gemini-2.5-pro/astropy__astropy-14508,astropy__astropy-14508,mini-swe-agent-1.0.0,gemini-2.5-pro,google,0,reason_sent,382,20
20250726_mini-v1.0.0_gemini-2.5-pro/astropy__astropy-14539,astropy__astropy-14539,mini-swe-agent-1.0.0,gemini-2.5-pro,google,0,reason_sent,83,8
20250726_mini-v1.0.0_gemini-2.5-pro/astropy__astropy-14598,astropy__astropy-14598,mini-swe-agent-1.0.0,gemini-2.5-pro,google,1,reason_sent,1912,30
20250726_mini-v1.0.0_gemini-2.5-pro/astropy__astropy-14995,astropy__astropy-14995,mini-swe-agent-1.0.0,gemini-2.5-pro,google,0,reason_sent,214,24
20250726_mini-v1.0.0_gemini-2.5-pro/astropy__astropy-7166,astropy__astropy-7166,mini-swe-agent-1.0.0,gemini-2.5-pro,google,0,reason_sent,189,16
