run_id,task_id,agent_id,model_id,model_family,label,seg,n_frag_total,n_steps_total
20241029_OpenHands-CodeAct-2.1-sonnet-20241022/astropy__astropy-13033,astropy__astropy-13033,20241029_OpenHands-CodeAct-2.1-sonnet-20241022,20241029_OpenHands-CodeAct-2.1-sonnet-20241022,20241029_OpenHands-CodeAct-2.1-sonnet-20241022,1,step,15,15
20241029_OpenHands-CodeAct-2.1-sonnet-20241022/astropy__astropy-13236,astropy__astropy-13236,20241029_OpenHands-CodeAct-2.1-sonnet-20241022,20241029_OpenHands-CodeAct-2.1-sonnet-20241022,20241029_OpenHands-CodeAct-2.1-sonnet-20241022,1,step,12,12
20241029_OpenHands-CodeAct-2.1-sonnet-20241022/astropy__astropy-13398,astropy__astropy-13398,20241029_OpenHands-CodeAct-2.1-sonnet-20241022,20241029_OpenHands-CodeAct-2.1-sonnet-20241022,20241029_OpenHands-CodeAct-2.1-sonnet-20241022,1,step,12,12
20241029_OpenHands-CodeAct-2.1-sonnet-20241022/astropy__astropy-13453,astropy__astropy-13453,20241029_OpenHands-CodeAct-2.1-sonnet-20241022,20241029_OpenHands-CodeAct-2.1-sonnet-20241022,20241029_OpenHands-CodeAct-2.1-sonnet-20241022,1,step,32,32
20241029_OpenHands-CodeAct-2.1-sonnet-20241022/astropy__astropy-13977,astropy__astropy-13977,20241029_OpenHands-CodeAct-2.1-sonnet-20241022,20241029_OpenHands-CodeAct-2.1-sonnet-20241022,20241029_OpenHands-CodeAct-2.1-sonnet-20241022,1,step,32,32
20241029_OpenHands-CodeAct-2.1-sonnet-20241022/astropy__astropy-14182,astropy__astropy-14182,20241029_OpenHands-CodeAct-2.1-sonnet-20241022,20241029_OpenHands-CodeAct-2.1-sonnet-20241022,20241029_OpenHands-CodeAct-2.1-sonnet-20241022,1,step,10,10
20241029_OpenHands-CodeAct-2.1-sonnet-20241022/astropy__astropy-14365,astropy__astropy-14365,20241029_OpenHands-CodeAct-2.1-sonnet-20241022,20241029_OpenHands-CodeAct-2.1-sonnet-20241022,20241029_OpenHands-CodeAct-2.1-sonnet-20241022,1,step,15,15
20241029_OpenHands-CodeAct-2.1-sonnet-20241022/astropy__astropy-14508,astropy__astropy-14508,20241029_OpenHands-CodeAct-2.1-sonnet-20241022,20241029_OpenHands-CodeAct-2.1-sonnet-20241022,20241029_OpenHands-CodeAct-2.1-sonnet-20241022,1,step,12,12
20241029_OpenHands-CodeAct-2.1-sonnet-20241022/astropy__astropy-14539,astropy__astropy-14539,20241029_OpenHands-CodeAct-2.1-sonnet-20241022,20241029_OpenHands-CodeAct-2.1-sonnet-20241022,20241029_OpenHands-CodeAct-2.1-sonnet-20241022,1,step,17,17
20241029_OpenHands-CodeAct-2.1-sonnet-20241022/astropy__astropy-7606,astropy__astropy-7606,20241029_OpenHands-CodeAct-2.1-sonnet-20241022,20241029_OpenHands-CodeAct-2.1-sonnet-20241022,20241029_OpenHands-CodeAct-2.1-sonnet-20241022,1,step,11,11
